id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,161,2,314,2021-11-19,3.60,1,126,43,City Registration Pending
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,2015-08-28,0.76,1,365,0,
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,19,2020-03-06,0.17,9,365,0,
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,2017-08-12,0.10,9,365,0,
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,895,7,28,2019-06-28,0.19,2,364,0,STR-0000264
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,169,13,736,2021-08-04,7.03,2,171,1,STR-0000028
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75831,-122.41386,Entire home/apt,150,30,341,2021-11-13,2.90,1,334,4,STR-0001558
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,120,30,18,2015-05-17,0.15,1,212,0,
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77025,-122.43836,Entire home/apt,170,30,38,2018-09-08,0.38,27,364,1,
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77424,-122.42441,Entire home/apt,166,30,15,2019-08-18,0.13,27,0,0,
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78527,-122.40861,Entire home/apt,116,30,20,2019-11-12,0.31,27,365,0,
11490,Cozy Nob Hill Nook 2BR 1BA mo rental w parking,42681,Rachael,,Nob Hill,37.7914,-122.41149,Entire home/apt,135,30,41,2014-12-18,0.32,1,176,0,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,6,2018-09-20,0.10,9,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.05,9,365,0,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,79,3,427,2020-02-18,5.78,1,5,0,STR-0000057
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,84,30,65,2021-11-29,0.64,1,180,2,
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,110,3,414,2020-03-10,3.64,1,75,0,STR-0000094
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,130,30,122,2021-11-14,2.18,1,318,3,City registration pending
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75818,-122.44153,Entire home/apt,155,3,412,2020-03-17,4.65,1,156,0,STR-0000205
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,154,2,314,2021-09-19,2.77,2,150,5,STR-0000036
24723,Guest Suite in PacHeights,100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,189,4,359,2021-11-30,2.66,2,32,27,Pending Application
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,160,5,50,2021-11-02,1.68,1,353,8,STR-0002528
27025,Modernized Edwardian Apartment in the Castro/Eureka Valley,115673,Luis,,Castro/Upper Market,37.76096,-122.43155,Entire home/apt,119,30,133,2019-09-15,1.63,1,125,0,STR-0000128
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,180,1,26,2019-11-21,0.33,2,0,0,STR-0000028
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73871,-122.41167,Entire home/apt,164,4,17,2020-01-21,0.26,2,0,0,STR-0000280
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,175,2,87,2021-11-08,0.86,1,299,18,STR-0001135
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,94,2019-09-29,1.00,1,125,0,City registration pending
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,270,1,639,2021-11-20,6.82,2,334,41,STR-0000073
39174,Bette's New Place,127367,Annette,,Mission,37.74918,-122.42478,Entire home/apt,107,30,22,2021-08-13,0.20,17,365,1,
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,73,60,22,2019-08-20,0.27,2,33,0,
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,107,30,100,2021-10-18,0.85,2,274,3,
41055,Quiet Cozy Castro Cottage,178043,Chas,,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,163,3,59,2021-11-23,0.44,1,5,3,City Registration Pending
41172,Sue's Place in Bernal Heights,53314,Sue,,Bernal Heights,37.74132,-122.41818,Private room,125,3,277,2021-11-27,2.24,1,337,14,Pending Application
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,125,30,153,2021-09-28,1.34,1,333,3,30 Day Minimum Stay Required
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,149,30,23,2021-11-07,0.17,1,313,6,
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75454,-122.38698,Entire home/apt,150,30,2,2017-08-20,0.02,17,364,0,
43732,Argent Alley Panorama,127367,Annette,,Twin Peaks,37.75283,-122.44411,Entire home/apt,120,30,5,2014-10-06,0.06,17,365,0,
44032,The Mission-100% Private,98733,David + Tina,,Mission,37.75158,-122.41158,Entire home/apt,120,30,295,2021-09-28,2.62,1,119,5,Monthly Only
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75131,-122.42167,Entire home/apt,150,60,3,2010-10-04,0.02,1,173,0,
